PetID,target_adopcion_lenta,conjunto_petfinder,ruta_imagen_principal,numero_imagen_principal,PhotoAmt,VideoAmt,image_width,image_height,image_aspect_ratio,perro_detectado,n_perros_detectados,confianza_deteccion,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,bbox_aspect_ratio,pct_imagen_ocupada_perro,centro_perro_x_norm,centro_perro_y_norm,distancia_centro_norm,perro_centrado
3422e4906,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3422e4906-1.jpg,1.0,7.0,0,300.0,400.0,0.75,True,1,0.8403881192207336,15.0,1.0,264.0,384.0,101376.0,0.6875,0.8448,0.49,0.4825,0.0304630924234556,True
5842f1ff5,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\5842f1ff5-1.jpg,1.0,8.0,0,400.0,300.0,1.3333333333333333,True,1,0.736454963684082,2.0,2.0,392.0,290.0,113680.0,1.3517241379310343,0.9473333333333334,0.495,0.49,0.0144222051018559,True
850a43f90,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\850a43f90-1.jpg,1.0,3.0,0,640.0,427.0,1.4988290398126465,True,1,0.6659084558486938,108.0,113.0,298.0,281.0,83738.0,1.060498220640569,0.3064183255269321,0.4015625,0.5936768149882904,0.1939919889650841,True
97aa9eeac,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\97aa9eeac-1.jpg,1.0,9.0,0,300.0,400.0,0.75,False,0,,,,,,,,,,,,
8b693ca84,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\8b693ca84-1.jpg,1.0,7.0,0,264.0,480.0,0.55,True,1,0.5535799264907837,5.0,112.0,244.0,350.0,85400.0,0.6971428571428572,0.6739267676767676,0.4810606060606061,0.5979166666666667,0.1725605342554092,True
aaedd873d,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\aaedd873d-1.jpg,1.0,1.0,0,300.0,400.0,0.75,True,1,0.7766416072845459,77.0,115.0,84.0,154.0,12936.0,0.5454545454545454,0.1078,0.3966666666666666,0.48,0.1280624847486569,True
c02be41e6,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c02be41e6-1.jpg,1.0,2.0,0,271.0,480.0,0.5645833333333333,True,1,0.7941493391990662,1.0,132.0,258.0,190.0,49020.0,1.3578947368421053,0.3768450184501845,0.4797047970479705,0.4729166666666666,0.0512160372097916,True
1fd342e17,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1fd342e17-1.jpg,1.0,2.0,0,360.0,480.0,0.75,True,1,0.8694867491722107,106.0,160.0,143.0,311.0,44473.0,0.4598070739549839,0.2573668981481481,0.4930555555555556,0.6572916666666667,0.2518045979634914,False
f9d07d5fa,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\f9d07d5fa-1.jpg,1.0,2.0,0,225.0,300.0,0.75,True,1,0.6740864515304565,19.0,2.0,179.0,292.0,52268.0,0.613013698630137,0.7743407407407408,0.4822222222222222,0.4933333333333333,0.0238513917599977,True
1c92ce464,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1c92ce464-1.jpg,1.0,8.0,0,300.0,400.0,0.75,True,1,0.6825292110443115,62.0,48.0,198.0,314.0,62172.0,0.6305732484076433,0.5181,0.5366666666666666,0.5125,0.0483321838943782,True
