PetID,n_metadata_images,n_label_annotations_mean,label_score_mean,pct_images_with_dog_label,pct_images_with_person_label,brightness_mean,brightness_median,dominant_color_score_mean,dominant_color_pixel_fraction_mean
000a290e4,2,10.0,0.752175788,1.0,0.0,86.6535,86.6535,0.15236539500000001,0.014944457500000001
000fb9572,6,9.666666666666666,0.765479504625,1.0,0.0,57.75416666666666,51.251000000000005,0.24343358333333331,0.1047810745
00156db4a,5,9.0,0.7279392405746032,1.0,0.0,167.1504,157.674,0.1760913,0.08074232519999999
0038234c6,3,9.333333333333334,0.7696088294166668,1.0,0.0,147.494,161.09900000000002,0.3970335166666666,0.20011928
0038c9343,5,10.0,0.8560367636,1.0,0.0,116.26939999999999,154.22799999999998,0.26172440799999996,0.121765525
004a26127,2,10.0,0.790094465,1.0,0.0,47.3565,47.3565,0.377576115,0.139137192
0052dcf47,3,10.0,0.7477291149999999,1.0,0.0,142.05866666666665,154.21099999999998,0.22168116333333332,0.064022524
0058586f1,3,10.0,0.751822787,1.0,0.0,33.60666666666666,28.426,0.3586888066666667,0.1778861233333333
005bb92d8,1,10.0,0.767420042,1.0,0.0,226.23899999999998,226.23899999999998,0.3506247,0.05938135
0063bd7e0,2,10.0,0.741191538,1.0,0.0,172.1195,172.1195,0.139786495,0.0704672685
00648f96f,2,10.0,0.7493403565000001,1.0,0.0,52.57149999999999,52.57149999999999,0.349815565,0.13647893
006610fe3,1,10.0,0.7854118409999999,1.0,0.0,24.299,24.299,0.82046187,0.15868887
00709d75b,4,10.0,0.800328688,1.0,0.0,22.796,22.524,0.35158952250000003,0.1214680125
0073c33d0,1,10.0,0.8462783760000001,1.0,0.0,47.51,47.51,0.6269916,0.26240027
007bc1db4,5,8.8,0.8055493982436508,1.0,0.0,89.65919999999998,83.72899999999998,0.33692880199999997,0.127435468
007ffeccd,10,9.1,0.7498838374095238,1.0,0.0,117.43929999999997,115.184,0.32262318900000003,0.0444325693
0090eb457,4,10.0,0.7423774095,1.0,0.0,148.54500000000002,172.195,0.24733440499999998,0.11334232525
009239f92,5,9.8,0.7985893209777778,1.0,0.0,117.45919999999998,110.42,0.189244036,0.10197710739999999
00a1a8af4,3,10.0,0.7980764606666666,1.0,0.0,166.58966666666666,190.209,0.22441836,0.11709445933333333
00af25fc0,3,9.333333333333334,0.7608318657407408,1.0,0.0,84.653,82.30999999999999,0.25756359,0.06696510033333333
00b23513e,5,9.0,0.8066453839222223,1.0,0.0,58.9154,48.980999999999995,0.39907183599999996,0.1759451968
00bfa5da9,2,9.5,0.7171192556666667,1.0,0.0,122.1275,122.1275,0.30797273,0.29967519
00c19f4fa,1,10.0,0.7591095250000001,1.0,0.0,201.03699999999998,201.03699999999998,0.10549179,0.045394
00c71a320,2,8.5,0.7966208076428571,1.0,0.0,213.12,213.12,0.207113725,0.14841311299999999
00f3a3993,8,9.875,0.7665240902916667,1.0,0.0,114.284875,119.25399999999999,0.17586866375,0.0250079646625
011350faf,1,8.0,0.8145094749999999,1.0,0.0,156.876,156.876,0.18634784,0.04438781
